=== Geração de Áudio — Meu Salmo ===
Aguardando 15s antes de iniciar (rate limit reset)...
Início: 2026-06-04 09:29:23
Voz: pt-BR-Chirp3-HD-Zubenelgenubi  |  Rate: 0.92  |  Total: 150

[139/150] ⏭️  Salmo 139 → já existe, pulando
[140/150] ⏭️  Salmo 140 → já existe, pulando
[141/150] ⏭️  Salmo 141 → já existe, pulando
[142/150] ⏭️  Salmo 142 → já existe, pulando
[143/150] ⏭️  Salmo 143 → já existe, pulando
[144/150] ⏭️  Salmo 144 → já existe, pulando
[145/150] ⏭️  Salmo 145 → já existe, pulando
[146/150] ⏭️  Salmo 146 → já existe, pulando
[147/150] ⏭️  Salmo 147 → já existe, pulando
[148/150] ⏭️  Salmo 148 → já existe, pulando
[149/150] ⏭️  Salmo 149 → já existe, pulando
[150/150] ⏭️  Salmo 150 → já existe, pulando

─────────────────────────────────────────────
✅ Gerados:  4
⏭️  Pulados:  146 (já existiam)
❌ Erros:    0
Tempo total: 6m 25s
─────────────────────────────────────────────

─────────────────────────────────────────────
Verificação final:
📁 Arquivos em assets/audios/: 150/150
📊 Tamanho médio: 421.3 KB
⚠️  Arquivos suspeitos (< 5 KB): nenhum
✅ Tudo pronto para embutir no app.
─────────────────────────────────────────────
Log salvo em: /Users/jeffsilva/Documents/Claude/o-meu-salmo/audio_testes/geracao.log
